id,questionId,topicId
1,1,1
2,1,31
3,2,52
4,2,36
5,2,37
6,3,60
7,3,64
8,3,31
9,4,21
10,4,5
11,4,1
12,5,71
13,5,64
14,5,23
15,6,64
16,7,37
17,8,64
18,9,37
19,10,52
20,10,64
21,10,23
22,11,71
23,11,29
24,11,1
25,12,64
26,12,37
27,12,31
28,13,64
29,13,37
30,13,31
31,14,64
32,14,1
33,14,70
34,15,71
35,15,1
36,15,62
37,16,71
38,16,1
39,16,62
40,17,2
41,17,64
42,17,31
43,18,71
44,18,1
45,18,62
46,19,71
47,19,36
48,20,63
49,20,64
50,21,52
51,21,36
52,22,2
53,22,64
54,22,23
55,23,32
56,23,36
57,23,21
58,23,40
59,24,52
60,24,36
61,25,52
62,25,36
63,26,71
64,26,1
65,27,71
66,27,1
67,28,71
68,28,64
69,28,65
70,29,8
71,29,37
72,30,60
73,30,64
74,30,31
75,31,71
76,31,1
77,32,63
78,32,64
79,32,23
80,33,5
81,33,1
82,34,5
83,34,1
84,35,5
85,35,1
86,36,38
87,36,1
88,36,31
89,37,38
90,37,2
91,37,1
92,37,31
93,38,64
94,39,2
95,39,1
96,40,2
97,40,1
98,41,1
99,41,31
100,42,1
101,42,71
102,42,63
103,42,43
104,42,23
105,43,59
106,43,64
107,43,37
108,44,52
109,44,29
110,44,64
111,44,23
112,45,29
113,45,1
114,45,23
115,46,2
116,46,1
117,47,2
118,47,1
119,47,62
120,48,38
121,48,37
122,48,1
123,49,62
124,49,64
125,49,1
126,49,31
127,50,52
128,50,37
129,51,2
130,51,1
131,52,2
132,53,21
133,53,1
134,53,23
135,54,38
136,54,59
137,54,1
138,55,29
139,55,1
140,55,23
141,56,1
142,56,62
143,57,1
144,58,64
145,59,38
146,59,59
147,59,1
148,60,52
149,60,37
150,61,71
151,61,36
152,62,13
153,62,37
154,62,23
155,63,38
156,63,1
157,63,23
158,64,38
159,64,1
160,64,23
161,65,64
162,66,37
163,66,1
164,67,59
165,67,64
166,67,8
167,67,37
168,68,59
169,68,64
170,68,1
171,69,5
172,69,37
173,70,39
174,70,37
175,70,23
176,71,63
177,71,64
178,72,64
179,72,23
180,73,38
181,73,1
182,73,31
183,74,38
184,74,5
185,74,1
186,75,71
187,75,1
188,75,62
189,76,60
190,76,64
191,76,31
192,77,2
193,78,2
194,78,8
195,78,1
196,79,2
197,79,1
198,79,64
199,79,19
200,79,38
201,80,71
202,80,1
203,81,5
204,81,1
205,82,71
206,82,36
207,83,36
208,84,63
209,84,43
210,84,1
211,85,1
212,85,63
213,85,38
214,85,43
215,85,23
216,86,71
217,86,36
218,87,64
219,87,23
220,88,71
221,88,1
222,88,62
223,89,2
224,89,8
225,89,37
226,90,2
227,90,8
228,90,1
229,91,64
230,91,23
231,92,36
232,93,2
233,93,64
234,94,63
235,94,19
236,94,69
237,94,7
238,95,2
239,95,23
240,95,6
241,95,69
242,95,7
243,96,37
244,96,23
245,96,6
246,96,69
247,96,7
248,97,64
249,97,23
250,98,19
251,98,69
252,98,7
253,98,6
254,99,19
255,99,69
256,99,7
257,99,6
258,100,11
259,100,19
260,100,69
