difficulty,id,paidOnly,questionFrontendId,title,titleSlug,acRate
EASY,1,0,1,Two Sum,two-sum,0.5685819728357414
MEDIUM,2,0,2,Add Two Numbers,add-two-numbers,0.4767601198915645
MEDIUM,3,0,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,0.382334947572215
HARD,4,0,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,0.4561036502849596
MEDIUM,5,0,5,Longest Palindromic Substring,longest-palindromic-substring,0.3706928966458642
MEDIUM,6,0,6,Zigzag Conversion,zigzag-conversion,0.532382221756219
MEDIUM,7,0,7,Reverse Integer,reverse-integer,0.3131359859704667
MEDIUM,8,0,8,String to Integer (atoi),string-to-integer-atoi,0.20368443890360244
EASY,9,0,9,Palindrome Number,palindrome-number,0.6009569977881026
HARD,10,0,10,Regular Expression Matching,regular-expression-matching,0.30226359784334106
MEDIUM,11,0,11,Container With Most Water,container-with-most-water,0.5927876717062045
MEDIUM,12,0,12,Integer to Roman,integer-to-roman,0.7016947847257592
EASY,13,0,13,Roman to Integer,roman-to-integer,0.6604133718256459
EASY,14,0,14,Longest Common Prefix,longest-common-prefix,0.46841863300739733
MEDIUM,15,0,15,3Sum,3sum,0.38334285750471603
MEDIUM,16,0,16,3Sum Closest,3sum-closest,0.47824340738725657
MEDIUM,17,0,17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,0.652374563332283
MEDIUM,18,0,18,4Sum,4sum,0.39696676706883777
MEDIUM,19,0,19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,0.506926562447157
EASY,20,0,20,Valid Parentheses,valid-parentheses,0.43480738599688623
EASY,21,0,21,Merge Two Sorted Lists,merge-two-sorted-lists,0.6775202674708735
MEDIUM,22,0,22,Generate Parentheses,generate-parentheses,0.7809457220103062
HARD,23,0,23,Merge k Sorted Lists,merge-k-sorted-lists,0.5855578778971707
MEDIUM,24,0,24,Swap Nodes in Pairs,swap-nodes-in-pairs,0.6867823440199242
HARD,25,0,25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,0.6499017322215493
EASY,26,0,26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,0.6195291813379016
EASY,27,0,27,Remove Element,remove-element,0.6113660376473424
EASY,28,0,28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,0.46065404718571445
MEDIUM,29,0,29,Divide Two Integers,divide-two-integers,0.1922524323533404
HARD,30,0,30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,0.337825870203142
MEDIUM,31,0,31,Next Permutation,next-permutation,0.4449078906716261
HARD,32,0,32,Longest Valid Parentheses,longest-valid-parentheses,0.3774764393927217
MEDIUM,33,0,33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,0.4391031658959449
